<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230609;000000;242.79;243;240.11;240.4;27.458.600
230613;000000;241.51;244.5;240.63;244.33;40.478.120
230614;000000;245.7;247.68;242.8;244.6;51.810.860
230615;000000;245.12;245.94;243.22;245.18;40.015.310
230616;000000;245.5;245.9;243.7;243.87;23.311.220
230619;000000;244.46;244.69;241.32;242.28;29.777.860
230620;000000;241.95;242.22;238.82;241.74;36.578.050
230621;000000;241.9;243.92;240.6;242.2;26.644.780
230622;000000;242.1;242.8;240.13;240.66;23.093.570
230623;000000;239.96;240.99;234.34;235.67;61.661.860
230626;000000;239.6;240.5;233.4;238.4;81.032.100
230627;000000;239.02;242.34;236.8;241.21;51.321.260
230628;000000;241.8;241.8;238.6;239.67;28.217.550
230629;000000;239.75;241.26;239.02;239.99;28.077.670
230630;000000;240;240.68;238.36;239.61;24.011.230
230703;000000;240;244.56;239.15;243.33;47.207.170
230704;000000;243.45;243.78;240.61;240.7;41.487.820
230705;000000;241.48;241.9;240.24;240.95;19.841.190
230706;000000;241.45;242.47;240.71;240.96;23.175.870
230707;000000;241.2;243.75;240.7;243.67;30.201.090
230710;000000;244.22;249.45;244.2;249.4;64.946.220
230711;000000;250.02;250.2;246.51;247.99;49.073.930
230712;000000;248.39;249.2;246.1;247.52;39.166.310
230713;000000;247.96;248.15;245.34;246.19;29.474.970
230714;000000;246.3;247.05;244.51;246.45;25.576.610
230717;000000;244.76;246.2;243.6;245.39;35.730.950
230718;000000;245.6;247.5;245.26;246.77;35.911.790
230719;000000;247.21;248.1;245;245.85;31.394.740
230720;000000;246.25;246.25;242.15;242.7;35.960.520
230721;000000;243.17;244.53;241.7;244.13;32.120.690
230724;000000;243.99;245.85;243.52;244.87;19.681.330
230725;000000;245.37;247.77;244.81;247.2;39.683.790
230726;000000;247.22;248.33;245.9;247.05;26.031.980
230727;000000;247.51;249.3;247.24;247.95;39.756.100
230728;000000;247.99;249.45;246.67;249.25;35.742.280
230731;000000;251.35;267.77;251.35;267.4;167.081.570
230801;000000;268.98;273.35;264.1;268.5;162.474.350
230802;000000;268.53;269.97;266.52;268.57;48.208.590
230803;000000;269.01;271.35;266.8;269.11;75.376.240
230804;000000;269.48;272.96;261.21;264.12;132.164.900
230807;000000;266.5;268.09;260.5;261.92;61.223.950
230808;000000;261.91;265.44;258.8;264.62;65.005.790
230809;000000;265.46;265.8;263.05;263.91;34.850.720
230810;000000;264.72;267.5;263.96;266.91;37.190.100
230811;000000;267.2;267.4;264.8;266.23;24.716.230
230814;000000;267.37;268.77;259.15;260.45;86.583.040
230815;000000;259.1;264.17;256.63;260.42;58.967.150
230816;000000;261.29;261.68;254.33;256.02;71.737.910
230817;000000;257.19;258.8;255.5;258.5;35.682.720
230818;000000;258.39;261.37;257.35;261.14;30.973.320
230821;000000;262.33;263.06;259.51;261.15;35.622.200
230822;000000;261.9;262.11;259.81;261.45;25.893.210
230823;000000;261.55;261.83;256;256.4;53.079.140
230824;000000;257.62;259.94;256.4;259.63;26.823.420
230825;000000;258.8;261.6;257.61;260.5;28.518.670
230828;000000;261.25;267.83;260.81;266.93;57.849.930
230829;000000;266.62;267.56;265.14;265.68;35.291.820
230830;000000;265.73;267.36;263.1;264.7;38.578.950
230831;000000;265.05;266.25;264.3;264.85;22.557.030
230901;000000;265.4;265.62;264.06;265;19.248.500
230904;000000;266.5;269.11;266;267.39;47.933.710
230905;000000;266.97;267.98;261.09;264.75;39.642.920
230906;000000;264.33;264.68;262.31;263.5;28.244.090
230907;000000;263.52;264.97;256.1;258.79;67.608.570
230908;000000;258.45;259.33;253.1;255.68;49.455.340
230911;000000;257;258.37;255.16;256.25;43.042.300
230912;000000;257.69;262.4;257.09;262.4;45.008.650
230913;000000;262.38;262.77;257.59;258.18;29.971.320
230914;000000;258.85;261.38;255.02;260;46.153.720
230915;000000;259.8;262.74;258.56;260.83;35.455.920
230918;000000;262.06;263;258.76;259.07;28.891.500
230919;000000;258.93;259.32;251.5;252.72;89.480.280
230920;000000;252.81;255.47;249.82;253.77;66.610.520
230921;000000;252.94;254.2;249.81;250.16;58.854.870
230922;000000;249.85;253.1;248.62;251.99;40.406.630
230925;000000;252.11;253.49;249.83;252.65;31.834.270
230926;000000;252.2;257.17;250.9;255.87;42.923.170
230927;000000;256.26;257.85;254.63;256.1;27.795.730
230928;000000;256.22;258.25;255.5;257.67;26.289.900
230929;000000;257.99;262.59;256.71;260.72;68.503.050
231002;000000;261.38;261.92;257.03;258.98;35.447.350
231003;000000;258.99;260.5;257.23;259.65;23.815.150
231004;000000;259;260.39;258.24;259.53;18.510.890
231005;000000;260.71;261.39;258.26;259.38;23.254.560
231006;000000;259.77;263.4;257.86;262.93;31.980.230
231009;000000;263.02;265.97;263;265.25;45.189.600
231010;000000;264.9;265.18;257;263;33.744.090
231011;000000;263.18;263.99;259.5;260.21;29.440.350
231012;000000;260.03;264.5;259.66;264.5;27.421.510
231013;000000;264.75;265.04;262.7;263.51;18.351.530
231016;000000;263.99;269.2;263.51;268.15;53.677.710
231017;000000;268.25;271.97;266.91;270;51.107.660
231018;000000;270;271.19;266.11;267.9;40.249.640
231019;000000;267.14;271;266.28;268.65;33.466.930
231020;000000;268.5;270.3;266.5;269.8;32.851.790
231023;000000;270.47;274.1;269.65;270.1;62.301.840
231024;000000;270.03;272.06;268.62;271.27;27.975.250
231025;000000;271.5;274.96;270.53;273.73;41.764.060
231026;000000;274.1;276;269.12;269.9;59.466.100
231027;000000;270;271.98;266.8;269.7;49.735.190
231030;000000;269.9;271.55;268.6;269.89;33.261.680
231031;000000;269.91;270.5;266.87;268.35;26.117.980
231101;000000;268.29;270.3;267.6;269.68;20.587.810
231102;000000;270.01;270.98;268.5;269.06;25.499.750
231103;000000;269.07;269.78;267.2;268.54;20.968.810
231106;000000;269;273.87;268.62;273.42;29.231.770
231107;000000;273.08;274.78;272.2;273.31;32.183.320
231108;000000;273.53;278.35;273.28;278.15;58.000.060
231109;000000;278.6;278.85;276.02;276.65;28.258.660
231110;000000;276.99;281.3;276.6;280.19;44.600.220
231113;000000;280.4;284.8;280.32;283.97;45.780.320
231114;000000;283.66;283.88;280.54;280.87;40.350.240
231115;000000;280.87;283.93;278.51;282.89;41.784.490
231116;000000;282.4;283.69;279.56;279.7;24.654.700
231117;000000;279.69;282.5;278.66;281.6;31.282.610
231120;000000;281.8;284.2;281.61;282.91;25.219.810
